Id,age,gender,ind-debateclub,ind-degree,ind-entrepeneur_exp,ind-exact_study,ind-international_exp,ind-languages,ind-previous_exp,ind-programming_exp,ind-testresult,ind-university_grade,nationality,sport,decision
x2781d,23,male,False,bachelor,True,True,False,2,4,True,29,66,German,Tennis,False
x2046b,31,male,False,bachelor,False,False,False,1,4,False,40,59,Dutch,Swimming,False
x4020c,28,male,True,master,False,False,True,2,4,False,38,51,Dutch,Football,False
x9259f,29,male,True,phd,False,False,True,2,4,False,22,65,Dutch,Rugby,True
x6183e,32,male,False,master,False,True,True,1,4,False,33,66,Dutch,Golf,False
x2368c,27,male,True,bachelor,True,False,False,2,4,True,28,64,German,Football,False
x4001c,22,female,False,master,False,True,False,1,4,True,39,71,Belgian,Cricket,True
x2984e,30,female,True,master,True,False,False,3,4,False,24,57,Dutch,Football,True
x6252c,28,male,False,bachelor,False,True,False,2,4,True,43,68,Dutch,Football,True
x2750a,25,female,False,bachelor,False,True,False,1,4,True,37,69,Belgian,Swimming,False
x9388c,22,female,False,master,False,True,False,1,4,True,36,64,Dutch,Swimming,False
x1060e,21,female,False,bachelor,False,True,False,2,4,False,27,67,Dutch,Tennis,False
x7405a,28,male,False,master,False,True,True,0,4,True,30,64,Belgian,Rugby,False
x6099d,26,female,False,bachelor,False,False,False,0,4,False,27,60,Dutch,Swimming,False
x2840a,28,male,False,master,False,True,False,1,4,False,29,65,Dutch,Football,True
x5308g,28,female,False,bachelor,False,True,False,1,4,False,38,59,Dutch,Swimming,False
x8899g,27,female,False,master,False,False,True,1,4,False,43,63,German,Chess,True
x1321e,28,female,False,bachelor,False,True,False,2,4,True,27,67,Dutch,Football,True
x3011g,26,male,True,master,True,False,False,3,4,False,33,57,Dutch,Football,True
x2249f,29,male,True,bachelor,False,False,False,2,4,False,39,58,Dutch,Football,False
x2999e,24,male,True,phd,True,False,False,3,4,False,32,55,Dutch,Football,True
x4107e,26,female,True,master,True,True,False,2,4,True,29,74,Dutch,Swimming,False
x9542g,26,male,False,master,False,True,True,1,4,True,32,69,Dutch,Swimming,False
x5134e,28,male,True,master,True,False,False,2,4,False,37,62,Dutch,Football,True
x6281a,25,male,False,master,False,False,False,1,4,False,22,52,German,Football,False
x8524b,32,female,False,master,False,False,False,1,4,False,31,59,German,Cricket,True
x6524a,32,female,False,master,False,False,True,0,4,False,32,58,Dutch,Football,False
x1791e,29,female,False,bachelor,False,False,False,0,4,False,23,57,German,Golf,False
x3972b,25,male,True,master,True,False,False,2,4,False,25,51,Belgian,Swimming,False
x2923f,29,male,True,master,True,False,False,3,4,False,15,63,Dutch,Rugby,True
x7200f,32,male,False,master,False,True,False,1,4,False,28,68,Dutch,Rugby,True
x4574f,29,male,True,master,True,False,True,2,4,False,27,58,Dutch,Football,True
x6651a,26,male,False,bachelor,False,False,False,1,4,False,22,57,Dutch,Football,False
x4098d,21,male,False,bachelor,False,True,False,1,4,True,39,63,Dutch,Swimming,False
x4957d,27,female,False,master,False,False,False,1,4,False,25,65,Belgian,Swimming,True
x6161a,24,female,False,bachelor,False,True,False,1,4,False,26,57,Dutch,Swimming,False
x1857b,27,female,False,phd,False,True,False,0,4,True,36,71,Dutch,Chess,False
x1617a,29,male,True,master,False,False,False,2,4,False,35,57,Dutch,Rugby,True
x7767d,23,male,False,bachelor,False,True,False,1,4,True,36,67,Belgian,Tennis,False
x1606b,25,female,False,master,False,True,True,0,4,False,37,64,Belgian,Chess,False
x1895e,28,female,False,phd,False,True,False,0,4,True,33,66,German,Swimming,False
x9841b,27,male,False,bachelor,True,False,False,3,4,False,22,54,Dutch,Rugby,False
x8103d,23,female,True,bachelor,True,True,False,2,4,True,39,74,Dutch,Tennis,False
x5524c,27,female,False,phd,False,True,True,0,4,True,36,72,Dutch,Running,False
x2176e,28,male,False,bachelor,False,True,False,1,4,True,25,57,Dutch,Cricket,False
x3503g,26,male,False,phd,False,False,True,2,4,False,31,63,Dutch,Golf,True
x9941d,26,male,False,bachelor,False,False,False,2,4,False,26,56,Dutch,Rugby,True
x5817b,27,female,False,bachelor,True,False,False,2,4,False,31,61,Dutch,Football,False
x4487d,28,male,False,bachelor,False,False,False,2,4,False,34,62,Dutch,Tennis,True
x6608c,28,female,False,bachelor,False,True,False,0,4,True,37,60,Dutch,Chess,False
x9988g,21,female,False,master,False,True,False,2,4,True,30,74,Dutch,Running,True
x6920d,23,male,False,bachelor,False,False,False,1,4,False,38,56,Dutch,Tennis,False
x3747b,25,female,False,master,False,True,False,1,4,False,34,68,Dutch,Swimming,False
x5891c,28,male,False,master,False,False,True,1,4,False,18,59,Dutch,Rugby,False
x1669g,22,female,False,bachelor,False,True,False,1,4,False,34,64,Dutch,Running,False
x1892e,30,male,True,master,True,False,False,2,4,False,30,58,Dutch,Tennis,True
x4137f,26,male,False,bachelor,False,True,False,1,4,True,30,68,Dutch,Tennis,False
x9880e,26,female,False,phd,False,True,True,1,4,True,25,74,Belgian,Chess,False
x8005e,32,male,False,bachelor,False,False,False,1,4,False,27,60,Dutch,Golf,True
x1651e,22,male,False,master,False,True,False,1,4,True,30,67,Dutch,Cricket,False
x9834a,25,male,False,master,False,True,False,1,4,False,35,63,Dutch,Running,False
x4159a,25,male,False,bachelor,False,False,False,1,4,False,29,56,Dutch,Football,False
x4643e,28,male,False,master,False,True,True,0,4,False,30,67,German,Football,False
x5958a,21,female,False,master,False,True,False,1,4,True,39,70,Dutch,Swimming,True
x6477e,28,female,False,master,False,True,False,2,4,True,37,71,Dutch,Chess,False
x1198b,26,female,False,master,False,True,False,1,4,False,38,69,Dutch,Chess,True
x4927e,24,male,False,bachelor,False,False,False,1,4,False,30,55,Dutch,Football,True
x7795g,21,female,False,master,False,True,False,1,4,False,28,65,Dutch,Chess,True
x8706d,26,male,False,master,False,True,False,1,4,True,28,63,Dutch,Chess,True
x5960b,32,male,False,bachelor,True,False,False,1,4,False,35,64,Dutch,Rugby,True
x8519g,27,male,False,master,False,True,False,1,4,True,37,69,Dutch,Football,False
x4722f,27,other,True,phd,True,False,False,2,4,False,28,57,Dutch,Rugby,True
x7636c,22,female,True,bachelor,True,True,False,2,4,False,32,63,German,Golf,False
x3506f,27,female,False,master,False,True,False,0,4,True,48,64,Dutch,Chess,False
x5663f,28,male,True,bachelor,False,False,False,2,4,False,26,58,Dutch,Tennis,False
x8454d,28,female,True,bachelor,True,False,False,2,4,True,33,61,Dutch,Football,False
x6328c,22,male,False,bachelor,False,True,False,1,4,True,28,60,Dutch,Tennis,False
x7366b,28,male,False,bachelor,True,False,False,2,4,False,39,62,German,Football,True
x6359c,28,male,True,bachelor,True,False,False,2,4,False,29,49,Dutch,Football,False
x4693g,25,female,False,master,False,True,True,2,4,True,39,70,Dutch,Chess,True
x4029e,22,female,False,bachelor,False,False,False,0,4,False,33,58,Dutch,Swimming,False
x7084d,24,female,True,master,True,True,False,2,4,False,41,70,Dutch,Swimming,True
x8494b,29,female,False,bachelor,False,False,False,1,4,False,28,56,Dutch,Rugby,False
x2194f,24,male,True,bachelor,True,False,False,3,4,False,32,59,Dutch,Football,True
x1831a,26,female,False,bachelor,False,False,True,0,4,False,24,53,Dutch,Cricket,False
x9885g,30,male,False,master,False,True,True,1,4,False,35,68,Dutch,Cricket,False
x6193d,30,male,False,master,False,False,False,2,4,False,27,57,Dutch,Football,True
x5043b,31,male,False,master,False,False,True,0,4,False,30,60,Belgian,Cricket,False
x1276g,27,male,True,master,True,False,False,2,4,False,30,55,Dutch,Rugby,True
x1977b,28,male,False,master,False,True,True,0,4,False,27,64,Dutch,Swimming,False
x2734d,25,male,False,bachelor,False,True,False,1,4,False,38,57,Belgian,Football,False
x3188e,26,male,True,bachelor,False,True,False,2,4,False,25,62,Dutch,Swimming,True
x6221c,26,female,False,master,False,True,False,2,4,True,30,74,German,Football,False
x5880f,21,male,False,master,False,True,False,1,4,True,40,69,Dutch,Tennis,False
x5560a,27,female,True,master,False,True,True,2,4,False,26,66,Dutch,Rugby,True
x2514f,25,female,False,bachelor,False,False,False,2,4,False,34,62,Dutch,Chess,True
x9986g,30,male,True,bachelor,True,False,False,3,4,False,29,52,Dutch,Rugby,False
x1248d,29,male,False,master,False,False,False,1,4,True,32,65,Dutch,Cricket,False
x6224c,30,male,True,bachelor,True,False,False,2,4,False,23,56,Dutch,Rugby,True
x4334b,26,female,False,master,False,True,False,0,4,False,32,65,Dutch,Running,False
x4411f,26,male,True,bachelor,True,False,False,3,4,False,25,58,Belgian,Football,False
x3931f,23,female,False,bachelor,False,True,False,1,4,True,33,58,Dutch,Cricket,False
x6800d,30,male,False,master,False,False,False,2,4,False,25,52,Dutch,Football,False
x5492f,25,male,False,bachelor,False,True,False,1,4,True,26,62,Dutch,Tennis,False
x7312g,29,female,False,bachelor,False,False,False,1,4,False,26,57,Dutch,Cricket,True
x3750e,21,female,False,bachelor,False,True,False,1,4,False,34,65,Dutch,Tennis,False
x4509b,26,male,False,master,False,True,False,0,4,False,27,60,Dutch,Golf,False
x3879e,29,male,True,master,False,False,False,2,4,False,28,66,Dutch,Tennis,True
x8968a,28,male,False,bachelor,False,True,False,1,4,True,36,70,Belgian,Tennis,False
x3767a,27,female,True,bachelor,True,True,False,2,4,True,24,66,Dutch,Golf,False
x2789f,24,male,False,master,False,False,True,2,4,False,16,59,German,Football,True
x4788b,28,female,False,bachelor,False,True,False,1,4,True,29,63,German,Golf,False
x5613g,25,male,False,master,False,True,True,1,4,True,35,68,Dutch,Running,False
x5635d,28,male,False,bachelor,False,True,False,1,4,True,23,62,Dutch,Running,True
x5523f,26,male,False,master,False,True,False,1,4,True,27,69,Belgian,Tennis,True
x4485c,26,female,False,phd,False,True,True,1,4,True,33,75,Dutch,Chess,True
x5579c,27,male,False,master,True,False,True,1,4,False,32,67,Dutch,Cricket,True
x8983a,24,female,False,bachelor,False,True,False,2,4,False,33,64,Dutch,Football,True
x3147e,28,male,False,bachelor,False,False,False,1,4,False,31,48,Dutch,Football,False
x1237d,21,female,False,master,False,True,False,0,4,True,37,67,Dutch,Chess,False
x3389d,24,other,False,master,False,True,False,1,4,True,34,70,Dutch,Chess,True
x5962b,27,male,True,bachelor,True,True,False,2,4,True,33,68,German,Tennis,False
x6908c,28,male,False,bachelor,False,True,False,1,4,True,27,65,Dutch,Football,False
x1554e,27,female,False,bachelor,False,True,False,1,4,True,32,65,Dutch,Swimming,True
x1455g,23,female,False,bachelor,False,False,False,0,4,False,27,57,Dutch,Swimming,False
x2679c,31,male,False,master,False,True,False,1,4,False,35,67,Dutch,Rugby,False
x5585b,23,male,False,bachelor,False,False,False,1,4,False,26,61,Dutch,Swimming,True
x9625e,27,female,False,bachelor,False,True,False,0,4,True,35,66,Dutch,Chess,False
x6967f,29,male,False,bachelor,False,False,True,1,4,False,37,59,German,Rugby,False
x3876e,30,male,False,master,False,False,True,1,4,False,28,58,Dutch,Rugby,True
x8809d,26,female,False,master,False,True,True,0,4,True,35,67,German,Chess,False
x9001d,32,male,False,master,False,False,True,0,4,False,32,58,Belgian,Cricket,False
x8509e,32,male,False,master,False,True,True,2,4,False,29,63,Dutch,Rugby,True
x9517a,30,female,False,master,False,True,False,0,4,False,33,65,Dutch,Football,False
x8457e,25,female,False,bachelor,False,True,False,1,4,False,30,61,Dutch,Golf,False
x6305f,26,female,False,bachelor,False,True,False,1,4,False,32,65,Dutch,Chess,True
x2898d,25,male,False,master,False,False,False,1,4,False,13,55,Dutch,Rugby,True
x5136b,31,male,False,phd,False,False,True,1,4,False,31,62,Dutch,Golf,True
x1474e,27,female,False,bachelor,False,False,False,2,4,False,31,59,Dutch,Cricket,True
x1476d,29,male,False,master,False,False,True,0,4,False,35,57,Dutch,Rugby,False
x3107b,21,female,False,bachelor,False,False,False,1,4,False,35,61,Dutch,Swimming,False
x2452f,24,female,False,bachelor,False,True,False,1,4,False,41,62,Dutch,Swimming,True
x8552d,26,female,False,bachelor,False,False,False,1,4,False,26,60,Dutch,Football,True
x6033c,22,male,True,master,False,True,False,2,4,True,39,71,Belgian,Tennis,True
x3221b,27,male,False,bachelor,False,True,False,1,4,True,33,65,Dutch,Tennis,False
x9884f,29,male,False,phd,False,True,True,1,4,False,45,69,Dutch,Golf,True
x2278g,30,female,False,bachelor,False,False,False,1,4,False,22,54,Dutch,Cricket,False
x2968e,21,female,False,bachelor,False,False,False,1,4,False,25,59,Dutch,Swimming,True
x9040c,22,male,False,bachelor,False,False,False,2,4,False,28,62,Dutch,Football,False
x7508f,24,male,True,bachelor,False,True,False,2,4,True,24,71,German,Swimming,False
x9942d,25,male,False,bachelor,False,False,False,2,4,True,28,63,Belgian,Rugby,True
x7781b,27,male,False,master,False,False,True,0,4,False,23,55,Belgian,Cricket,False
x5251b,22,female,False,bachelor,False,True,False,0,4,True,33,65,Dutch,Running,False
x9572c,27,female,False,master,False,True,True,0,4,False,35,67,Dutch,Running,False
x4459e,28,male,True,bachelor,False,True,False,2,4,False,41,64,Belgian,Cricket,True
x4143e,25,male,False,bachelor,False,False,False,1,4,False,35,61,Dutch,Golf,True
x3720f,25,female,False,master,False,True,False,0,4,True,30,67,Dutch,Swimming,False
x6099a,25,female,False,master,False,True,True,1,4,True,30,70,Dutch,Swimming,True
x8264e,23,female,False,master,True,False,False,2,4,False,34,64,German,Tennis,True
x7389e,25,male,True,bachelor,True,False,False,2,4,False,23,60,Dutch,Tennis,False
x8201d,27,male,True,bachelor,False,True,False,2,4,True,43,68,Dutch,Football,False
x3555c,26,male,True,bachelor,True,False,False,3,4,False,31,51,Dutch,Football,False
x9998f,24,male,False,master,False,True,False,1,4,True,33,72,Dutch,Tennis,False
x8815c,26,female,False,bachelor,False,False,False,1,4,False,21,60,Dutch,Chess,True
x7989d,24,male,False,master,False,True,False,1,4,True,41,70,Dutch,Football,True
x6759g,25,female,False,phd,False,True,True,0,4,True,34,71,Dutch,Chess,False
x6839c,27,female,False,bachelor,False,True,False,1,4,False,35,59,Dutch,Chess,False
x1065g,28,female,False,master,False,True,False,1,4,False,24,64,Dutch,Golf,False
x5807e,24,female,False,bachelor,False,True,False,1,4,False,29,65,Dutch,Chess,False
x8707b,30,female,False,master,False,False,False,2,4,False,26,53,Dutch,Football,False
x2216g,30,female,True,bachelor,True,False,False,2,4,False,27,54,Belgian,Swimming,False
x1289g,27,female,False,master,False,True,False,1,4,True,32,70,Dutch,Football,False
x5687d,24,male,True,bachelor,True,True,False,2,4,True,36,66,Dutch,Swimming,False
x2860f,28,female,False,master,False,True,False,0,4,True,29,69,Dutch,Chess,False
x4612a,24,male,False,bachelor,False,False,False,2,4,False,24,51,Dutch,Rugby,False
x4278d,27,male,True,bachelor,True,False,False,3,4,False,32,63,Belgian,Football,False
x8852d,25,male,False,master,False,True,False,1,4,True,37,70,German,Football,False
x1458a,27,male,False,master,False,True,True,0,4,True,35,63,Belgian,Running,False
x6688c,24,female,False,bachelor,False,False,False,1,4,False,23,58,Dutch,Running,True
x6516g,28,female,True,master,True,False,False,2,4,False,22,60,Dutch,Football,True
x3550a,24,male,True,bachelor,True,False,False,3,4,False,38,65,Dutch,Football,True
x3130d,23,male,False,bachelor,False,True,False,1,4,True,34,66,Dutch,Football,False
x3904a,28,male,True,bachelor,False,False,False,3,4,False,23,54,German,Football,False
x3577g,21,female,False,bachelor,False,False,False,2,4,False,36,57,Dutch,Tennis,False
x8344d,24,male,True,master,False,False,False,2,4,False,30,60,Dutch,Rugby,True
x8757e,30,male,False,master,False,False,True,0,4,False,34,58,Belgian,Golf,False
x9562b,24,male,False,bachelor,False,True,False,1,4,True,33,67,German,Swimming,False
x1771d,29,male,True,bachelor,True,False,False,2,4,False,41,63,Dutch,Rugby,True
x3636a,27,female,False,master,False,True,False,0,4,False,40,64,Dutch,Running,False
x9127e,24,female,True,master,True,True,False,2,4,True,32,67,Dutch,Running,True
x6872a,26,male,False,bachelor,False,True,False,1,4,False,36,64,Dutch,Football,False
x5217d,29,other,False,bachelor,True,True,False,2,4,False,32,59,Dutch,Swimming,False
x4301e,21,female,False,master,False,True,False,1,4,True,42,72,Dutch,Tennis,True
x3039a,25,other,False,master,False,True,True,0,4,True,29,69,Dutch,Swimming,False
x1850f,30,female,False,bachelor,False,False,False,1,4,False,31,56,Dutch,Rugby,True
x6314g,24,male,True,master,False,False,False,2,4,False,38,67,Dutch,Football,True
x3179f,23,female,False,bachelor,False,False,False,1,4,False,20,59,Dutch,Swimming,True
x6121g,24,male,False,master,True,False,False,2,4,False,20,52,Dutch,Football,False
x8535f,24,male,False,master,False,False,False,1,4,False,17,56,Dutch,Rugby,True
x6427e,22,female,False,bachelor,False,True,False,1,4,True,31,66,Dutch,Tennis,False
x3049g,26,male,True,master,True,False,False,2,4,False,35,64,Dutch,Football,True
x8731g,26,male,True,bachelor,True,False,False,3,4,False,38,61,Dutch,Tennis,True
x6263g,28,male,False,master,False,False,True,1,4,False,30,61,Dutch,Cricket,False
x6095g,32,female,False,bachelor,False,True,False,0,4,False,37,59,Dutch,Cricket,False
x5517d,23,female,False,bachelor,False,True,False,1,4,False,26,66,Dutch,Tennis,False
x6290f,29,male,False,master,False,False,False,1,4,False,17,53,Dutch,Football,False
x7357d,29,male,False,bachelor,False,False,True,0,4,False,29,59,Dutch,Golf,False
x4769d,29,male,False,bachelor,False,False,False,2,4,False,26,49,Dutch,Football,False
x7803f,22,male,False,bachelor,False,True,False,1,4,True,32,65,Dutch,Running,False
x4685d,23,female,False,master,False,True,True,0,4,True,20,61,Dutch,Chess,False
x3063g,24,female,False,master,False,True,False,1,4,False,31,63,Dutch,Swimming,True
x1417d,27,male,True,master,False,False,False,2,4,False,18,51,Dutch,Football,False
x2131b,28,female,False,bachelor,False,False,False,0,4,False,44,63,Dutch,Rugby,False
x8628g,26,male,False,master,False,False,True,1,4,False,30,58,German,Football,True
x9175d,26,male,True,bachelor,True,False,False,3,4,False,26,63,Dutch,Rugby,True
x4221b,26,female,True,master,True,False,True,3,4,False,27,61,Dutch,Football,True
x4525b,32,female,False,bachelor,False,False,False,1,4,False,22,56,Dutch,Cricket,False
x3690e,23,male,False,bachelor,False,False,False,1,4,False,28,58,Belgian,Swimming,False
x1509d,26,male,True,bachelor,True,False,False,3,4,False,33,58,German,Rugby,False
x1473b,25,female,False,bachelor,True,True,False,1,4,False,26,62,Dutch,Running,False
x5766b,30,male,False,bachelor,False,False,False,0,4,False,41,58,Dutch,Cricket,False
x7950g,28,female,False,master,False,False,True,1,4,False,15,56,Dutch,Football,True
x4819g,27,male,False,master,False,False,True,2,4,False,24,56,Dutch,Football,True
x5025f,22,male,True,bachelor,True,True,False,2,4,True,34,70,Dutch,Running,False
x5958c,25,female,False,bachelor,False,False,False,1,4,False,25,61,Dutch,Chess,True
x2198e,28,male,False,master,False,True,False,2,4,False,29,64,Dutch,Tennis,True
x2739c,27,female,False,master,False,True,True,1,4,True,28,69,Dutch,Running,False
x3793b,26,female,False,bachelor,False,True,False,1,4,False,40,61,Belgian,Swimming,True
x3999b,26,female,False,master,False,True,False,0,4,True,44,69,Dutch,Chess,False
x8538b,28,male,True,master,True,False,False,2,4,False,26,59,Dutch,Football,True
x7819g,30,male,True,master,True,False,False,3,4,False,28,54,Dutch,Rugby,False
x5958e,26,female,False,master,False,True,False,2,4,True,35,73,German,Swimming,True
x4894c,24,female,False,master,False,True,False,2,4,False,31,65,Dutch,Tennis,True
x1877c,25,male,False,master,False,False,False,2,4,False,30,55,Dutch,Swimming,True
x6768a,22,male,False,bachelor,False,True,False,0,4,False,36,65,Dutch,Chess,False
x9081a,22,male,False,bachelor,False,False,False,1,4,False,27,61,Dutch,Football,False
x3538b,27,male,False,bachelor,False,True,False,2,4,True,34,74,Belgian,Tennis,False
x6687a,28,female,False,master,False,False,True,0,4,False,27,57,Dutch,Rugby,False
x4090a,29,male,True,master,False,False,True,2,4,False,14,52,Dutch,Football,False
x5909g,30,male,True,master,True,False,False,3,4,False,20,57,Dutch,Football,True
x3898a,30,male,True,bachelor,True,False,False,3,4,False,36,59,Dutch,Football,True
x1523g,24,female,False,master,False,True,False,1,4,True,44,72,Dutch,Running,False
x5416c,29,male,False,bachelor,False,False,True,0,4,False,26,55,Dutch,Golf,False
x4067g,27,male,False,bachelor,False,False,False,1,4,False,32,59,Dutch,Golf,True
x6544b,24,male,True,bachelor,True,True,False,2,4,False,26,69,Dutch,Cricket,False
x4408f,30,female,True,master,True,False,False,3,4,False,43,56,Dutch,Football,True
x2662b,26,female,False,bachelor,False,True,False,1,4,True,38,65,Dutch,Swimming,False
x1300f,30,female,False,master,False,False,False,2,4,False,28,59,Belgian,Rugby,True
x8129b,21,female,False,master,False,True,False,0,4,False,30,70,Dutch,Chess,False
x2499g,27,female,True,bachelor,True,False,False,2,4,False,23,63,Dutch,Tennis,False
x6657a,25,male,False,master,False,False,True,1,4,False,32,63,German,Football,True
x6443g,21,female,False,master,False,True,False,1,4,False,28,65,German,Swimming,True
x3335f,22,female,False,master,False,True,True,0,4,True,25,65,Dutch,Running,False
x3845a,25,male,False,bachelor,False,False,False,1,4,False,23,54,Belgian,Rugby,False
x8765c,22,female,False,bachelor,False,True,False,1,4,True,26,64,Dutch,Football,False
x2376b,27,male,True,master,False,True,False,2,4,True,45,75,Dutch,Golf,True
x2856e,22,male,False,master,False,True,False,1,4,True,37,66,Dutch,Tennis,True
x9271d,26,male,False,bachelor,False,True,False,2,4,False,31,64,Dutch,Running,True
x5968g,23,female,False,master,False,True,True,1,4,False,39,65,Dutch,Swimming,True
x7378a,27,male,False,bachelor,False,False,True,1,4,False,26,52,Belgian,Cricket,False
x3950e,22,male,False,master,True,True,False,2,4,True,30,69,Dutch,Golf,True
x4246e,30,male,True,master,True,False,False,2,4,False,33,51,Dutch,Rugby,False
x3340a,22,male,False,bachelor,False,False,False,1,4,False,34,64,Dutch,Swimming,True
x9058g,27,female,False,master,True,True,False,2,4,False,26,64,Dutch,Football,True
x7870e,27,female,False,master,False,True,False,0,4,True,31,64,German,Running,False
x7527b,30,male,False,bachelor,False,False,False,2,4,False,24,58,Belgian,Rugby,False
x7225c,29,female,False,phd,False,False,True,1,4,False,24,63,Dutch,Golf,True
x5441g,24,male,False,bachelor,True,False,False,2,4,False,29,49,Dutch,Tennis,False
x1958e,26,female,False,master,False,True,False,1,4,True,41,63,German,Chess,False
x7424b,21,female,False,bachelor,False,False,False,1,4,False,24,62,Dutch,Chess,True
x6830c,24,male,True,master,False,False,True,2,4,False,35,65,Belgian,Football,True
x8856g,26,male,True,bachelor,True,False,False,2,4,False,25,57,Dutch,Football,True
x3001f,28,female,False,master,False,True,False,2,4,True,33,72,German,Swimming,True
x9371g,26,female,False,bachelor,True,True,False,1,4,True,30,66,Dutch,Football,False
x9487g,28,male,False,master,False,False,True,1,4,True,28,66,Dutch,Rugby,True
x3848c,22,female,False,bachelor,False,False,False,0,4,False,28,57,Dutch,Running,False
x9976d,22,male,False,bachelor,False,True,False,1,4,True,27,63,Dutch,Golf,False
x9774b,30,male,False,bachelor,False,False,False,2,4,False,28,54,Belgian,Football,False
x2584c,22,male,False,master,False,True,False,0,4,True,32,65,Dutch,Chess,False
x6590a,25,male,True,bachelor,True,False,False,3,4,False,25,53,Dutch,Rugby,False
x6517g,24,female,False,bachelor,True,False,False,2,4,False,22,55,Dutch,Rugby,False
x2409b,25,male,False,bachelor,False,True,False,1,4,False,27,61,Dutch,Tennis,False
x6033a,27,female,False,bachelor,False,True,False,1,4,False,33,59,Dutch,Swimming,True
x3421b,24,female,False,bachelor,True,False,False,1,4,False,32,60,Dutch,Tennis,False
x7940a,31,male,False,phd,False,True,True,0,4,False,28,67,Dutch,Cricket,False
x2110f,26,male,True,bachelor,True,False,False,2,4,False,24,49,Dutch,Tennis,False
x4492e,21,female,False,master,False,True,False,1,4,False,36,66,Dutch,Chess,False
x6868e,25,female,False,bachelor,False,True,False,1,4,True,26,70,Dutch,Golf,False
x5018f,26,male,False,bachelor,False,True,False,1,4,False,34,64,German,Football,False
x6682g,28,female,True,bachelor,False,True,False,2,4,False,30,67,Dutch,Running,False
x9986f,27,female,False,master,True,False,True,2,4,False,35,66,German,Tennis,True
x2479e,28,female,False,master,False,True,False,0,4,False,28,64,Dutch,Swimming,False
x3108g,22,female,False,master,False,True,False,1,4,True,26,71,Dutch,Swimming,False
x1276e,22,male,False,bachelor,False,True,False,2,4,True,25,68,Dutch,Tennis,False
x1399f,27,male,False,bachelor,False,True,False,1,4,True,32,65,German,Tennis,False
x3888b,26,male,False,bachelor,False,False,False,1,4,False,29,57,Dutch,Football,False
x7310d,26,male,True,bachelor,True,False,False,2,4,False,19,49,Dutch,Rugby,False
x1555e,28,female,True,bachelor,False,True,False,2,4,False,35,64,Dutch,Tennis,True
x3940a,24,male,False,bachelor,False,False,False,2,4,False,20,57,German,Football,False
x7645b,26,female,True,master,True,False,True,2,4,False,31,63,Dutch,Tennis,True
